Person_ID,Name,Age,Gender,Sexual_Orientation,Era,Relationship_Start_Date,Relationship_End_Date,Relationship_Duration,Relationship_Type,Commitment_Level,Breakup_Reason,Conflict_Frequency,First_Fight_Topic,Last_Text_Exchanged,Mutual_Breakup,Closure_Given,Rebound_After_Days,Avg_Texts_Per_Day,First_Message,Sweet_Terms_Used,Ghosting_Days_Count,Longest_Conversation,Streak_Days,Deleted_Texts_Count,Mood_Before,Mood_During,Mood_After,Trust_Score,Emotional_Dependency_Score,Regret_Level,Self_Esteem_After,Lessons_Learned,Playlist_Shared,Theme_Song,Photos_Shared_Count,Places_Visited_Together,Anniversary_Celebrated,Memory_Value_Score,Love_Growth_Trend,Attachment_Style,Breakup_Recovery_Days,Communication_Style,Emotional_Intensity,Compatibility_Score
163,Andrew,26,Non-binary,Bisexual,Modern,2017-01-29,2017-06-27,149 days,Long-distance,Casual,Trust issues,Medium,Communication,Carry never energy order generation billion total employee share large certain sound either send officer win human away.,No,No,121,96,Police those point cause phone small.,33,19,126,14,3,Resigned,Confident,Confident,8,10,3,Lower,Communication is key,Yes,Stay With Me,0,1,No,7,Decline,Avoidant,202,Avoidant,9,7
164,Anthony,44,Other,Asexual,Modern,2007-06-06,2007-08-23,78 days,Flings,Casual,Infatuation fade,High,Time management,Across firm truth explain skill risk word your letter heart word.,Yes,Yes,54,68,Boy population local perform culture image whole those bad.,7,0,96,10,5,Joyful,Excited,Hopeful,9,4,5,Same,Be yourself,No,Let Her Go,35,20,No,8,Early spike,Avoidant,6,Open,7,6
165,Nicole,18,Non-binary,Heterosexual,Past,2014-03-31,2015-04-13,378 days,Long-distance,Serious,Mismatch of values,Medium,Communication,Focus bill participant director health new whose successful.,Yes,No,66,94,Edge east over very consider among successful eye.,16,8,15,23,17,Confident,Joyful,Hopeful,2,2,3,Higher,Love is not enough,No,Photograph,46,7,Yes,1,Early spike,Secure,313,Passive,2,1
166,Kim,25,Other,Bisexual,Modern,2003-07-02,2003-09-23,83 days,Long-term,Serious,Different life goals,Low,Priorities,Meeting former defense seat almost left film fear.,No,Yes,56,13,Above all effect.,26,11,87,58,13,Excited,Hopeful,Bitter,4,10,5,Same,Be honest,No,Perfect,29,13,Yes,3,Gradual,Anxious,298,Avoidant,10,1
167,Lori,20,Non-binary,Homosexual,Modern,2001-03-29,2003-04-05,737 days,Long-term,Casual,Long distance strain,Low,Future plans,Throw defense blood ever center medical.,Yes,Yes,129,39,Station national party tax wide answer.,50,20,10,35,14,Numb,Hopeful,Heartbroken,8,4,3,Same,Trust actions not words,No,Shape of You,2,15,Yes,5,Gradual,Anxious,57,Passive,5,8
168,Stephanie,44,Other,Pansexual,Modern,2019-05-24,2019-07-08,45 days,Flings,Casual,Moved away,Low,Time management,Dark couple everybody beat attorney open country skill pretty just executive.,Yes,Yes,136,80,Ready national mouth fall glass poor light news system change.,19,23,25,36,16,Hopeful,Heartbroken,Calm,8,8,9,Higher,Self-love matters,No,All of Me,17,17,Yes,1,Gradual,Avoidant,243,Avoidant,10,3
169,Tonya,20,Non-binary,Pansexual,Modern,2003-12-09,2006-04-09,852 days,Flings,Casual,Trust issues,Medium,Career,Term citizen tend none student nature.,Yes,Yes,2,59,Continue success material on personal.,50,13,171,25,16,Calm,Heartbroken,Resigned,5,10,1,Same,Communication is key,Yes,Someone Like You,45,19,No,2,Decline,Anxious,272,Avoidant,2,3
170,Brady,41,Female,Asexual,Modern,2005-09-01,2007-05-31,637 days,Long-term,Casual,Third-party interference,Low,Trust,Yourself home respond when newspaper blue activity or recognize.,Yes,No,92,79,Son six others PM forget hospital civil civil.,48,25,60,4,0,Excited,Bitter,Shy,8,2,5,Same,Value your time,Yes,Shape of You,34,19,Yes,3,Decline,Avoidant,351,Open,6,1
171,John,41,Other,Pansexual,Modern,2004-08-02,2006-01-30,546 days,Casual,Undefined,Emotional unavailability,Low,Money,Country picture institution step long next after base.,No,No,53,29,Medical such happen successful purpose.,42,14,35,34,19,Confident,Joyful,Excited,4,5,3,Higher,Be honest,No,Photograph,99,15,No,3,Early spike,Anxious,336,Avoidant,7,2
172,Joshua,22,Non-binary,Bisexual,Modern,2007-04-30,2008-10-31,550 days,Situationship,Engaged,Emotional unavailability,Low,Time management,Run agent teach resource society east court.,Yes,No,126,63,Alone field politics agree approach sure mouth wish teacher before air entire for foot.,20,9,70,25,1,Numb,Resigned,Resigned,1,10,7,Same,Value your time,No,Someone Like You,45,0,Yes,9,Early spike,Anxious,339,Passive,2,10
173,Daniel,43,Other,Bisexual,Past,2013-12-13,2015-10-30,686 days,Long-distance,Casual,Moved away,Low,Communication,By result section every condition environment general authority federal fire herself face cell.,No,No,70,35,Ok risk tonight himself partner million purpose democratic resource.,33,19,86,17,18,Numb,Heartbroken,Bitter,1,10,1,Lower,Self-love matters,Yes,Blinding Lights,35,9,No,1,Gradual,Anxious,135,Avoidant,5,8
174,Matthew,30,Male,Pansexual,Past,2004-05-14,2006-09-20,859 days,Casual,Engaged,Ghosting,High,Time management,Would market economic hold blood those note individual direction front word claim suggest share recognize.,No,No,38,69,Congress magazine model art explain himself.,44,4,142,15,15,Bitter,Excited,Excited,5,6,8,Higher,Be honest,Yes,All of Me,87,17,No,5,Gradual,Secure,264,Passive,9,6
175,Michele,39,Male,Asexual,Modern,2016-08-18,2018-11-02,806 days,Situationship,Serious,Trust issues,Low,Future plans,Consumer lay decision during beyond computer happen paper.,No,No,66,20,Large movement floor whole hot follow natural.,33,9,14,16,5,Heartbroken,Bitter,Confident,5,3,6,Same,Trust actions not words,Yes,Stay With Me,59,0,No,6,Early spike,Anxious,335,Avoidant,4,6
176,Robyn,18,Non-binary,Pansexual,Modern,2013-12-25,2014-09-25,274 days,Long-distance,Engaged,Family disapproval,Low,Career,Available plan tree particular amount subject win nearly point.,Yes,No,91,51,Worry across when leave bag need base tree middle.,46,30,110,15,0,Numb,Resigned,Excited,8,7,1,Higher,Love is not enough,No,Perfect,88,15,Yes,8,Gradual,Secure,348,Passive,9,6
177,Edwin,28,Male,Bisexual,Past,2005-04-21,2006-12-03,591 days,Flings,Serious,Different life goals,Medium,Priorities,Air yes author recently none wait know market affect future specific over again many simply return.,Yes,No,129,96,Heavy current improve whom relate physical both argue focus process itself.,4,30,166,39,17,Resigned,Joyful,Confident,10,10,8,Lower,Set boundaries,No,Photograph,75,16,Yes,7,Gradual,Avoidant,262,Open,4,10
178,Elizabeth,21,Other,Homosexual,Modern,2021-02-10,2021-09-14,216 days,Flings,Casual,Trust issues,Low,Priorities,Product raise hundred local house general white least responsibility professor various oil really stage national price.,No,No,45,67,Become paper answer fall responsibility nor.,27,30,164,20,10,Calm,Excited,Shy,4,9,4,Same,Be yourself,Yes,Stay With Me,44,7,No,6,Early spike,Avoidant,162,Passive,10,3
179,Henry,33,Male,Asexual,Modern,2021-08-30,2022-05-27,270 days,Flings,Engaged,Emotional unavailability,Low,Career,Increase politics friend wear day health operation party test eat blue brother our development force draw over personal air.,Yes,No,71,57,View would news us car inside safe cost economic entire market his five present top air air exist.,3,14,29,25,2,Numb,Shy,Heartbroken,1,10,1,Higher,Set boundaries,Yes,Perfect,16,4,Yes,2,Early spike,Avoidant,135,Passive,3,6
180,Sandra,19,Other,Asexual,Past,2013-03-24,2014-02-04,317 days,Flings,Engaged,Third-party interference,Medium,Time management,Step peace huge who place hit.,Yes,Yes,175,68,Everybody sure size several glass always allow relationship.,27,10,128,33,19,Numb,Excited,Joyful,1,2,2,Lower,Set boundaries,No,Let Her Go,84,13,Yes,6,Decline,Anxious,183,Avoidant,9,10
181,Tiffany,32,Female,Asexual,Past,2006-12-15,2009-02-08,786 days,Casual,Casual,Different life goals,Medium,Career,Sign base for sort quite young resource around operation left by feeling price involve pattern body.,No,Yes,68,17,Good question ball answer leg power account law floor strategy social expert spring attention.,13,16,58,40,2,Bitter,Bitter,Bitter,1,6,7,Lower,Communication is key,No,Someone Like You,61,7,No,5,Gradual,Anxious,154,Open,6,2
182,David,33,Other,Asexual,Past,2011-12-06,2014-02-02,789 days,Long-distance,Casual,Arguments and fights,Low,Future plans,If address pretty film exactly much maybe expect sport movement keep site pretty close must.,Yes,Yes,15,76,Allow involve seven machine support soldier could either thousand.,49,13,40,40,6,Calm,Shy,Joyful,3,6,4,Higher,Value your time,Yes,Say You Won't Let Go,79,1,No,8,Decline,Avoidant,206,Passive,7,9
183,James,36,Female,Homosexual,Modern,2005-08-27,2007-04-20,601 days,Situationship,Undefined,Ghosting,High,Future plans,Fall change nor future seven time all certainly theory use expect challenge next wish design.,Yes,No,179,67,Consumer sign red center majority once professional.,41,2,154,31,13,Calm,Heartbroken,Joyful,10,7,6,Higher,Love is not enough,No,Photograph,13,17,Yes,6,Decline,Secure,44,Open,5,2
184,Christopher,33,Male,Pansexual,Past,2003-09-16,2005-02-01,504 days,Situationship,Serious,Mismatch of values,Low,Career,Expect away another learn right.,No,Yes,96,11,Mrs medical put imagine among treatment box game court.,4,4,134,14,0,Shy,Resigned,Excited,7,1,7,Lower,Communication is key,No,Stay With Me,22,3,Yes,9,Early spike,Anxious,121,Passive,10,6
185,Craig,19,Male,Heterosexual,Past,2022-05-20,2024-09-12,846 days,Situationship,Serious,Trust issues,Medium,Communication,Know teacher ten measure smile natural develop mouth truth call big actually.,Yes,Yes,139,59,First hard behind still now could different marriage make free.,20,0,96,37,4,Numb,Heartbroken,Shy,4,3,1,Higher,Love is not enough,No,Thinking Out Loud,53,1,No,10,Decline,Avoidant,358,Passive,6,1
186,Blake,35,Other,Heterosexual,Modern,2000-09-08,2002-12-03,816 days,Flings,Casual,Career priorities,Low,Career,Good strategy either agent time exist concern already.,No,Yes,88,13,Safe despite ago painting pretty heart article staff believe.,18,6,124,23,6,Bitter,Numb,Confident,10,2,3,Same,Choose wisely,No,Photograph,71,15,No,5,Gradual,Secure,324,Passive,1,5
187,James,37,Other,Heterosexual,Past,2001-10-21,2002-02-06,108 days,Flings,Casual,Moved away,High,Communication,Though name growth decade agree budget they impact Congress.,No,Yes,5,47,Into go figure learn less reveal close director pick.,35,7,176,45,11,Heartbroken,Numb,Numb,10,7,1,Higher,Love is not enough,Yes,Perfect,34,11,Yes,1,Decline,Secure,305,Avoidant,5,3
188,Brian,32,Other,Asexual,Modern,2000-01-24,2000-09-13,233 days,Situationship,Engaged,Trust issues,High,Priorities,Tell before staff yourself its beautiful might understand have far mind never tell yet.,No,Yes,147,82,Effort south main too where.,21,1,65,55,13,Resigned,Confident,Hopeful,6,8,1,Lower,Value your time,Yes,Stay With Me,87,0,Yes,4,Decline,Avoidant,205,Avoidant,4,5
189,Blake,38,Male,Heterosexual,Modern,2004-05-05,2006-04-23,718 days,Casual,Serious,Financial problems,Low,Money,Resource hope once hear cup drive approach play.,Yes,Yes,79,48,Would perform song fish per article imagine employee tough during avoid wind yard.,20,8,171,5,1,Hopeful,Confident,Calm,10,7,7,Lower,Be honest,Yes,Stay With Me,36,14,No,4,Early spike,Avoidant,223,Avoidant,10,6
190,Joshua,20,Male,Homosexual,Modern,2019-04-06,2019-06-23,78 days,Flings,Serious,Jealousy,High,Communication,Staff yet need push us impact your car way protect.,Yes,No,116,24,Large nice tough community at.,16,16,36,19,20,Numb,Resigned,Joyful,1,10,6,Same,Be yourself,Yes,All of Me,54,11,No,5,Decline,Anxious,117,Passive,6,5
191,Peter,38,Male,Asexual,Past,2016-06-24,2018-06-22,728 days,Long-term,Serious,Trust issues,Medium,Social media use,Begin approach soldier TV through smile phone must movement score.,Yes,No,52,50,Defense health practice value thing news forget age.,34,1,161,28,12,Resigned,Calm,Calm,8,3,2,Higher,Communication is key,Yes,Someone Like You,1,11,Yes,5,Decline,Secure,103,Passive,4,8
192,Diane,27,Female,Homosexual,Past,2022-12-12,2023-03-06,84 days,Situationship,Serious,Long distance strain,Medium,Career,Total ground it.,No,Yes,118,69,Still send share sound.,27,27,102,4,17,Excited,Joyful,Joyful,4,4,2,Lower,Be honest,No,Perfect,62,6,No,4,Decline,Anxious,279,Open,2,7
193,David,34,Other,Homosexual,Past,2007-12-28,2010-05-02,856 days,Situationship,Casual,Loss of feelings,High,Money,Treatment these clearly together.,No,No,31,76,Ground majority edge wife reduce person explain.,16,2,20,11,6,Heartbroken,Calm,Calm,5,2,1,Lower,Set boundaries,Yes,Let Her Go,76,19,No,8,Decline,Anxious,224,Open,7,10
194,Selena,28,Male,Asexual,Past,2021-01-20,2022-07-13,539 days,Long-distance,Casual,Financial problems,Low,Jealousy,Anyone think professor many power success make.,Yes,Yes,105,83,Serious sure particularly clear six father person reason it light audience he painting become soldier only score go age.,6,7,30,24,10,Resigned,Calm,Resigned,7,2,9,Same,Learn to forgive,Yes,Perfect,10,20,No,9,Decline,Avoidant,142,Avoidant,3,3
195,Shannon,31,Female,Asexual,Modern,2001-02-10,2002-11-26,654 days,Long-term,Casual,Emotional unavailability,Medium,Social media use,Mention magazine create miss Republican just find.,Yes,No,30,79,Rate court team message however popular difficult once music large.,12,20,145,7,10,Bitter,Joyful,Heartbroken,6,3,5,Lower,Learn to forgive,Yes,Blinding Lights,11,12,No,3,Gradual,Avoidant,265,Open,4,4
196,Andrew,32,Female,Homosexual,Modern,2006-10-29,2007-03-29,151 days,Flings,Engaged,Financial problems,High,Time management,Adult politics music back coach yet than become manage woman.,No,No,63,96,Drive deep concern budget name identify senior.,2,19,81,20,12,Resigned,Excited,Heartbroken,4,7,2,Lower,Be yourself,Yes,Blinding Lights,57,2,No,5,Gradual,Secure,9,Passive,4,7
197,Shannon,37,Male,Pansexual,Modern,2016-04-03,2017-02-03,306 days,Casual,Engaged,Loss of feelings,High,Priorities,Hair treat general.,No,Yes,179,45,Now decision speech politics before management rule recent dinner air.,18,1,10,40,11,Heartbroken,Confident,Hopeful,5,3,3,Higher,Communication is key,No,Perfect,47,17,Yes,8,Decline,Avoidant,15,Avoidant,10,7
198,Brandon,23,Non-binary,Bisexual,Modern,2001-12-05,2002-05-16,162 days,Situationship,Casual,Mental health problems,Low,Money,Her fly no successful them speak every camera less skin show interesting manager lot.,No,Yes,159,51,I of claim put window pass politics perhaps move gas public relationship include.,26,29,146,42,19,Excited,Bitter,Calm,9,1,1,Higher,Value your time,No,Stay With Me,69,19,Yes,10,Decline,Avoidant,304,Avoidant,2,1
199,Joseph,41,Male,Bisexual,Modern,2006-08-20,2007-06-06,290 days,Casual,Undefined,Ghosting,Medium,Money,Fear which physical assume amount say.,Yes,No,167,69,Decision little accept green material rich thank involve.,37,26,140,37,12,Bitter,Joyful,Calm,5,8,1,Same,Love is not enough,Yes,Someone Like You,34,7,Yes,7,Decline,Avoidant,77,Passive,1,2
200,Heather,34,Non-binary,Homosexual,Modern,2021-03-29,2023-03-23,724 days,Long-distance,Serious,Family disapproval,High,Jealousy,President collection test.,No,Yes,36,59,School company accept pass walk sort.,49,16,165,4,4,Numb,Excited,Hopeful,6,5,1,Higher,Choose wisely,No,Blinding Lights,45,5,No,9,Early spike,Avoidant,168,Passive,2,2
201,Jennifer,24,Other,Pansexual,Past,2002-05-25,2003-09-07,470 days,Long-term,Casual,Career priorities,High,Family interference,Big air always those spend tree.,No,No,147,11,Certain then month difficult product foreign pressure owner.,13,4,36,22,16,Confident,Shy,Numb,7,10,9,Higher,Communication is key,Yes,Let Her Go,84,13,Yes,3,Early spike,Anxious,268,Open,5,6
202,Andrea,20,Non-binary,Homosexual,Modern,2016-11-26,2019-04-19,874 days,Long-term,Undefined,Long distance strain,High,Jealousy,Likely certain fire peace dream situation third adult student understand name front in member.,Yes,No,85,55,Recognize degree stage room building try behavior.,29,0,39,16,8,Shy,Joyful,Joyful,8,6,1,Lower,Be honest,No,Perfect,98,8,No,1,Decline,Avoidant,161,Passive,9,2
203,Christine,18,Male,Heterosexual,Past,2001-08-23,2002-11-21,455 days,Situationship,Engaged,Mismatch of values,Low,Career,Long occur see foot benefit level technology himself real wife approach boy his ball.,Yes,Yes,21,61,Front move machine rise friend action company full work.,33,23,21,16,12,Resigned,Confident,Calm,8,8,7,Lower,Choose wisely,Yes,Say You Won't Let Go,56,8,No,9,Early spike,Anxious,127,Passive,10,10
204,John,28,Male,Heterosexual,Modern,2003-01-08,2004-05-31,509 days,Flings,Casual,Addiction issues,Medium,Priorities,Almost account interest team account hope military fight open three medical sound general.,Yes,No,69,62,Produce call since consumer new by one have identify ground inside deep member cell.,3,13,52,34,4,Heartbroken,Calm,Resigned,8,3,7,Same,Choose wisely,Yes,Thinking Out Loud,89,19,No,8,Decline,Avoidant,61,Avoidant,4,7
205,Clifford,44,Other,Bisexual,Modern,2005-03-19,2007-02-06,689 days,Long-term,Serious,Addiction issues,Medium,Career,Identify bank here computer also system TV mission own really ten late poor certain woman star light method why.,Yes,Yes,173,58,Business be unit number start need.,12,24,33,2,12,Numb,Excited,Shy,3,5,6,Same,Choose wisely,No,Let Her Go,84,15,No,8,Gradual,Secure,257,Passive,6,9
206,Danielle,38,Female,Heterosexual,Modern,2023-12-06,2024-10-10,309 days,Situationship,Undefined,Trust issues,High,Time management,Help let open huge cost course toward.,No,No,44,26,Friend art happen everything dark.,26,22,108,37,18,Confident,Hopeful,Shy,8,2,2,Higher,Value your time,No,Shape of You,82,5,Yes,6,Decline,Anxious,11,Open,6,6
207,Omar,21,Non-binary,Heterosexual,Past,2007-06-15,2009-07-31,777 days,Flings,Casual,Infatuation fade,Low,Social media use,Avoid to growth center hit.,Yes,Yes,163,54,Allow only evidence first clear according environmental pull win ground.,45,6,144,5,1,Shy,Confident,Shy,7,6,10,Higher,Set boundaries,No,Let Her Go,6,20,No,2,Gradual,Avoidant,164,Passive,5,10
208,Brenda,33,Non-binary,Bisexual,Modern,2005-12-29,2007-02-09,407 days,Casual,Engaged,Arguments and fights,Medium,Money,Else weight provide city south seek resource development.,No,Yes,26,20,Feeling buy after present degree a try return book collection.,36,17,132,3,13,Joyful,Bitter,Hopeful,2,9,10,Higher,Learn to forgive,Yes,Say You Won't Let Go,71,7,No,7,Gradual,Anxious,122,Passive,1,6
209,Brittany,37,Non-binary,Homosexual,Past,2020-10-17,2021-08-23,310 days,Flings,Engaged,Jealousy,Low,Priorities,By meeting high catch media mouth hear team capital response remember knowledge list personal.,Yes,Yes,119,44,Low push real speak tax.,32,1,162,21,9,Joyful,Resigned,Heartbroken,8,4,3,Higher,Love is not enough,No,Shape of You,87,11,No,7,Gradual,Avoidant,330,Avoidant,10,4
210,Gina,34,Female,Heterosexual,Modern,2012-09-10,2013-10-25,410 days,Long-distance,Undefined,Long distance strain,High,Trust,Whose play true opportunity start board style keep gun effect point whether assume wrong.,No,Yes,51,64,Guess forward big land who hair live foreign break.,30,3,128,41,16,Shy,Bitter,Calm,1,9,10,Higher,Trust actions not words,Yes,Shape of You,84,2,No,4,Decline,Secure,221,Passive,5,7
211,Erin,29,Female,Bisexual,Modern,2004-08-07,2006-11-14,829 days,Casual,Serious,Family disapproval,High,Communication,Arrive really official to plan production man financial worry look next it high song responsibility drive war any agency cell.,Yes,Yes,137,59,Also bed nothing close easy address structure party matter nature act believe environment high early audience.,32,6,63,30,1,Bitter,Confident,Bitter,5,10,2,Higher,Learn to forgive,Yes,Say You Won't Let Go,4,0,No,9,Early spike,Secure,111,Passive,8,5
212,Angela,21,Non-binary,Bisexual,Modern,2007-11-23,2008-09-19,301 days,Long-distance,Engaged,Arguments and fights,High,Career,Red source good before rather final country eight.,Yes,Yes,49,13,Peace wear return ball question common bed similar state market or everybody action wrong upon least interview them course gas.,21,27,172,14,16,Heartbroken,Heartbroken,Shy,9,8,10,Lower,Choose wisely,No,Let Her Go,86,12,No,5,Decline,Secure,208,Passive,8,7
213,Erin,34,Female,Bisexual,Modern,2005-10-05,2007-07-05,638 days,Casual,Undefined,Career priorities,Medium,Communication,Official them most speak gun buy nearly deal thus himself everything.,Yes,No,112,2,Indeed image behind find simple defense improve.,11,10,152,14,11,Shy,Shy,Bitter,10,1,3,Same,Be honest,Yes,Thinking Out Loud,80,18,Yes,8,Decline,Avoidant,212,Passive,9,1
214,Alicia,20,Other,Bisexual,Modern,2014-12-26,2017-05-12,868 days,Flings,Serious,Financial problems,Low,Trust,Art medical anything commercial.,Yes,Yes,142,83,Item never six maintain then read loss identify consumer song ready.,43,3,14,32,2,Heartbroken,Confident,Calm,4,3,7,Same,Value your time,No,Let Her Go,73,5,Yes,7,Gradual,Avoidant,134,Passive,8,5
215,Chris,27,Non-binary,Homosexual,Modern,2012-11-04,2013-10-04,334 days,Long-term,Undefined,Addiction issues,High,Priorities,Picture speech art behind.,No,Yes,68,22,Thousand heart which save PM performance reduce dinner game trade since bank area.,9,25,106,48,17,Joyful,Resigned,Bitter,7,10,4,Same,Be yourself,Yes,Shape of You,1,1,No,10,Decline,Anxious,360,Avoidant,9,5
216,Shawn,29,Non-binary,Bisexual,Modern,2000-03-16,2001-06-15,456 days,Long-term,Engaged,Third-party interference,Low,Social media use,Put resource step continue response together together join number production since drug identify evidence picture.,No,Yes,43,7,Two beat me positive so fire visit accept picture information win pretty part arm.,36,6,22,56,20,Hopeful,Confident,Joyful,8,9,1,Higher,Communication is key,No,All of Me,41,19,No,2,Gradual,Avoidant,216,Passive,3,6
217,Julie,39,Female,Homosexual,Past,2007-07-21,2008-04-10,264 days,Flings,Engaged,Emotional unavailability,Medium,Time management,Believe matter weight let start else.,No,No,78,75,Rather know actually federal hope mouth cover alone operation.,35,4,13,28,19,Joyful,Bitter,Heartbroken,9,3,5,Lower,Be yourself,No,Say You Won't Let Go,9,0,Yes,3,Gradual,Anxious,88,Avoidant,9,4
218,Tina,38,Male,Bisexual,Modern,2021-11-02,2022-04-28,177 days,Long-term,Serious,Financial problems,High,Future plans,Paper movie business book your pressure dream vote.,No,Yes,92,9,Seek fear side yet above job spring they choose.,43,4,112,25,1,Resigned,Heartbroken,Resigned,4,10,1,Higher,Learn to forgive,Yes,Let Her Go,29,4,Yes,2,Gradual,Avoidant,353,Passive,3,10
219,Austin,39,Male,Homosexual,Past,2017-02-04,2018-10-23,626 days,Long-term,Casual,Career priorities,High,Family interference,Reach economy cup tonight interview responsibility board couple control.,No,No,170,1,Task event forward plant language baby.,17,0,84,2,15,Joyful,Shy,Shy,3,10,8,Same,Self-love matters,Yes,Someone Like You,18,4,Yes,10,Decline,Secure,288,Avoidant,7,6
220,Malik,33,Non-binary,Heterosexual,Past,2023-10-03,2024-07-18,289 days,Situationship,Serious,Arguments and fights,High,Social media use,Agreement than movie the.,No,No,154,63,Over foreign collection mother recently true although direction set mother firm buy program evening after film.,38,30,88,50,14,Calm,Resigned,Excited,1,5,5,Higher,Love is not enough,No,Let Her Go,8,6,No,8,Early spike,Secure,184,Passive,5,5
221,John,38,Other,Pansexual,Modern,2023-06-10,2024-09-15,463 days,Casual,Serious,Different life goals,High,Career,Lawyer suffer attack middle age place.,Yes,No,73,6,Himself level indeed gas box another level least line today itself ball name speak skill party music.,14,24,122,51,1,Heartbroken,Heartbroken,Bitter,3,4,3,Higher,Choose wisely,No,Say You Won't Let Go,16,16,Yes,5,Early spike,Secure,175,Passive,3,7
222,Shaun,26,Other,Asexual,Modern,2004-03-13,2005-12-31,658 days,Situationship,Serious,Mismatch of values,High,Priorities,Society particularly system election crime show author success staff old eat buy possible will the back civil.,Yes,Yes,26,90,Throughout some staff rise area financial focus color subject home people administration certainly per control claim.,46,13,95,16,5,Joyful,Numb,Bitter,7,10,6,Higher,Choose wisely,No,Blinding Lights,62,0,No,3,Gradual,Avoidant,307,Passive,3,5
223,Lauren,37,Non-binary,Asexual,Past,2002-12-10,2004-03-05,451 days,Casual,Engaged,Long distance strain,Low,Family interference,Will issue season war institution believe which describe matter contain.,No,No,33,49,Dark increase station general process on yourself three red call.,26,22,73,58,2,Numb,Hopeful,Hopeful,9,1,10,Higher,Be yourself,Yes,Shape of You,62,13,No,2,Gradual,Avoidant,223,Open,6,3
224,Sandra,29,Female,Bisexual,Modern,2013-02-03,2013-10-12,251 days,Casual,Serious,Third-party interference,High,Trust,Foot year agree war small hear special miss.,Yes,Yes,133,34,Staff like half specific speech yourself help pass.,15,14,158,40,14,Joyful,Heartbroken,Bitter,9,6,5,Lower,Be honest,No,Photograph,85,16,No,7,Decline,Secure,339,Avoidant,1,4
225,Christopher,32,Male,Homosexual,Past,2009-12-09,2011-05-14,521 days,Long-term,Serious,Infatuation fade,Low,Communication,Deal concern level figure son.,Yes,No,34,92,Common laugh fire energy citizen travel card.,42,15,129,35,16,Heartbroken,Hopeful,Resigned,10,6,6,Same,Choose wisely,Yes,Stay With Me,20,17,Yes,8,Decline,Avoidant,34,Passive,6,7
226,Rebekah,29,Male,Bisexual,Modern,2010-08-10,2012-03-28,596 days,Situationship,Serious,Third-party interference,High,Trust,Herself similar rate attorney girl factor police cover number.,Yes,Yes,119,32,Enough field I street certain learn together partner decide approach particularly mind always.,49,9,52,38,19,Numb,Numb,Shy,5,10,6,Lower,Communication is key,No,Stay With Me,32,8,No,6,Gradual,Avoidant,238,Passive,8,8
227,Veronica,20,Female,Pansexual,Past,2000-08-03,2002-08-12,739 days,Situationship,Casual,Ghosting,Medium,Priorities,Force wife call increase group list member.,Yes,Yes,0,51,Artist consider others something someone into collection actually.,3,13,11,3,19,Hopeful,Hopeful,Numb,8,8,1,Same,Set boundaries,No,Thinking Out Loud,51,13,Yes,3,Decline,Anxious,308,Avoidant,6,3
228,Karen,37,Other,Bisexual,Past,2020-05-19,2022-01-31,622 days,Casual,Casual,Mental health problems,Low,Priorities,Glass surface could claim.,No,No,98,96,Executive see plant space four paper full alone.,11,24,108,53,4,Bitter,Shy,Shy,2,10,1,Higher,Communication is key,No,Let Her Go,41,13,Yes,4,Early spike,Anxious,270,Open,3,6
229,Cindy,45,Male,Heterosexual,Modern,2012-05-03,2013-03-01,302 days,Flings,Serious,Jealousy,Medium,Communication,Provide rest allow add drop join prove wonder likely black wife.,Yes,No,14,75,Such clearly my fast accept fly section blood realize firm network social sister including again management on hundred help within.,30,20,113,13,20,Confident,Calm,Resigned,3,5,6,Lower,Value your time,No,Someone Like You,63,9,No,5,Gradual,Avoidant,196,Passive,7,9
230,Barbara,32,Non-binary,Asexual,Past,2002-11-17,2004-02-04,444 days,Long-term,Engaged,Infatuation fade,Medium,Communication,Stand action machine staff dog third author special four nearly think.,No,Yes,43,60,Stand shake reflect service another take enough.,0,14,98,15,9,Confident,Resigned,Calm,9,10,10,Lower,Be yourself,Yes,Blinding Lights,5,17,Yes,8,Decline,Avoidant,178,Passive,1,3
231,Maria,34,Non-binary,Homosexual,Modern,2023-06-19,2025-02-27,619 days,Situationship,Casual,Lack of communication,Low,Priorities,Father choice reason face dinner memory.,Yes,Yes,18,29,Call friend last itself street give prove hand admit east radio top word image.,12,17,144,28,20,Numb,Joyful,Joyful,9,1,3,Higher,Choose wisely,Yes,Stay With Me,57,8,No,7,Early spike,Anxious,101,Passive,6,2
232,Brian,24,Female,Asexual,Modern,2022-01-01,2022-12-11,344 days,Casual,Undefined,Moved away,High,Time management,Young worry process show various somebody enjoy.,No,No,70,18,True far star someone party player soon tough.,35,1,133,40,1,Confident,Shy,Bitter,3,6,6,Same,Choose wisely,No,Thinking Out Loud,10,4,Yes,8,Gradual,Secure,325,Passive,10,9
233,Lisa,37,Male,Pansexual,Past,2022-02-09,2023-06-29,505 days,Casual,Casual,Career priorities,High,Family interference,Ground important each baby key fast hard everything force much.,No,No,105,83,Thousand Mrs concern find whole weight must everybody.,32,14,65,54,8,Bitter,Bitter,Hopeful,1,10,2,Same,Love is not enough,No,Photograph,39,15,Yes,2,Decline,Anxious,91,Open,4,4
